customer_id,signup_date,age,location,customer_segment,subscription_plan,monthly_spend,total_spend,acquisition_channel,payment_method,subscription_start_date,renewal_date,tenure_months,plan_changes,upgrades,downgrades,last_login_date,login_frequency,days_since_last_login,sessions_last_30_days,average_session_duration,feature_usage_count,key_feature_usage,activity_change_pct,support_tickets,unresolved_tickets,complaints,failed_payments,churned,churn_date,churn_reason_category,signup_year_month,is_high_value,is_early_stage,has_support_friction,has_billing_issue,has_inactivity_warning,score_inactivity,score_engagement_velocity,score_operational_friction,score_feature_adoption,churn_risk_score,risk_tier,primary_risk_driver,strategic_segment
CUST-10041,2024-03-07,41,Latin America,Mid-Market,Pro,79.0,1659.0,Organic Search,ACH / Bank Transfer,2024-03-07,2025-03-07,21,0,0,0,2025-12-31,Weekly (3-5x/wk),0,24,26.1,9,1,14.9,3,0,0,0,0,,Active / Retained,2024-03,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10042,2025-04-23,56,North America,Mid-Market,Pro,79.0,632.0,Paid Ads,Credit Card,2025-04-23,2026-04-23,8,0,0,0,2025-12-30,Daily,1,27,15.9,12,1,25.4,2,0,0,0,0,,Active / Retained,2025-04,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10043,2025-07-20,21,Asia Pacific,Mid-Market,Enterprise,249.0,1245.0,Referral,Credit Card,2025-07-20,2026-07-20,5,1,1,0,2025-12-27,Weekly (3-5x/wk),4,36,21.3,16,1,-2.1,1,0,0,2,0,,Active / Retained,2025-07,1,0,0,1,0,7.5,0.525,12.0,0.0,20.0,Low Risk,Healthy Customer / No Major Risk,Champions
CUST-10044,2024-12-19,25,Europe,Mid-Market,Enterprise,249.0,2988.0,Referral,ACH / Bank Transfer,2024-12-19,2025-12-19,12,1,1,0,2025-12-29,Daily,2,30,28.8,15,1,-15.5,0,0,0,0,0,,Active / Retained,2024-12,1,0,0,0,0,0.0,3.875,0.0,0.0,3.9,Low Risk,Healthy Customer / No Major Risk,Champions
CUST-10045,2025-03-23,32,Europe,SMB,Pro,79.0,711.0,Direct Sales,Credit Card,2025-03-23,2026-03-23,9,1,1,0,2025-12-28,Weekly (3-5x/wk),3,43,27.1,11,1,15.5,1,0,0,0,0,,Active / Retained,2025-03,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10046,2024-03-11,50,Europe,Startup/Individual,Basic,29.0,609.0,Referral,Credit Card,2024-03-11,2025-03-11,21,0,0,0,2025-12-30,Weekly (3-5x/wk),1,23,12.5,17,0,8.3,3,0,0,0,0,,Active / Retained,2024-03,0,0,0,0,0,0.0,0.0,0.0,12.0,12.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10047,2024-12-14,37,Europe,Mid-Market,Enterprise,249.0,2988.0,Paid Ads,Credit Card,2024-12-14,2025-12-14,12,0,0,0,2025-10-30,Dormant (30+ days),62,1,9.4,3,0,-52.1,4,0,0,0,1,2025-05-15,Competitor Migration / Natural Attrition,2024-12,1,0,0,0,1,25.0,18.025,0.0,17.0,60.0,Medium Risk,Severe Inactivity,Churned Customer
CUST-10048,2024-08-15,29,North America,Startup/Individual,Basic,29.0,464.0,Content / Webinar,PayPal,2024-08-15,2025-08-15,16,0,0,0,2025-12-27,Weekly (3-5x/wk),4,27,22.0,8,1,-5.6,2,0,0,0,0,,Active / Retained,2024-08,0,0,0,0,0,7.5,1.4,0.0,2.5,11.4,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10049,2025-07-04,32,Asia Pacific,Startup/Individual,Basic,29.0,145.0,Partner Affiliate,Credit Card,2025-07-04,2026-07-04,5,0,0,0,2025-12-15,Rare (1-2x/mo),16,12,7.5,2,0,-74.7,2,0,0,0,1,2025-11-02,Dormancy / No Team Engagement,2025-07,0,0,0,0,1,18.7,18.675,0.0,17.0,54.4,Medium Risk,Severe Inactivity,Churned Customer
CUST-10050,2025-08-23,42,North America,Startup/Individual,Basic,29.0,116.0,Referral,Credit Card,2025-08-23,2026-08-23,4,0,0,0,2025-12-27,Weekly (3-5x/wk),4,32,41.2,9,0,31.0,2,0,0,0,0,,Active / Retained,2025-08,0,0,0,0,0,7.5,0.0,0.0,12.0,19.5,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10051,2025-05-24,28,Europe,Startup/Individual,Basic,29.0,203.0,Partner Affiliate,Credit Card,2025-05-24,2026-05-24,7,0,0,0,2025-12-22,Occasional (1-2x/wk),9,32,30.3,8,1,14.3,4,3,0,0,0,,Active / Retained,2025-05,0,0,1,0,0,14.4,0.0,8.0,2.5,24.9,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10052,2025-09-15,30,North America,SMB,Basic,29.0,87.0,Direct Sales,PayPal,2025-09-15,2026-09-15,3,0,0,0,2025-12-22,Occasional (1-2x/wk),9,26,20.8,13,1,11.8,2,0,0,0,0,,Active / Retained,2025-09,0,1,0,0,0,14.4,0.0,0.0,0.0,14.4,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10053,2025-01-30,52,Asia Pacific,SMB,Pro,79.0,869.0,Organic Search,PayPal,2025-01-30,2026-01-30,11,1,1,0,2025-12-30,Weekly (3-5x/wk),1,18,33.3,16,1,4.3,2,0,0,0,0,,Active / Retained,2025-01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10054,2025-06-15,41,North America,SMB,Basic,29.0,174.0,Paid Ads,PayPal,2025-06-15,2026-06-15,6,0,0,0,2025-12-23,Occasional (1-2x/wk),8,38,31.3,7,1,17.3,1,0,0,0,0,,Active / Retained,2025-06,0,0,0,0,0,13.2,0.0,0.0,2.5,15.7,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10055,2025-02-19,60,Europe,SMB,Basic,29.0,290.0,Organic Search,Credit Card,2025-02-19,2026-02-19,10,0,0,0,2025-12-30,Weekly (3-5x/wk),1,18,40.9,14,1,-27.9,2,0,0,0,0,,Active / Retained,2025-02,0,0,0,0,0,0.0,6.975,0.0,0.0,7.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10056,2024-06-05,41,Europe,Startup/Individual,Basic,29.0,522.0,Organic Search,Credit Card,2024-06-05,2025-06-05,18,0,0,0,2025-12-24,Occasional (1-2x/wk),7,48,25.2,7,0,14.1,3,0,0,1,0,,Active / Retained,2024-06,0,0,0,1,0,12.0,0.0,6.0,14.5,32.5,Medium Risk,Low Feature Adoption / Downgrade,Loyal Customers
CUST-10057,2024-05-18,38,Asia Pacific,SMB,Basic,29.0,551.0,Partner Affiliate,Credit Card,2024-05-18,2025-05-18,19,0,0,0,2025-12-28,Weekly (3-5x/wk),3,34,34.4,8,1,16.3,2,0,0,2,0,,Active / Retained,2024-05,0,0,0,1,0,0.0,0.0,12.0,2.5,14.5,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10058,2024-10-24,53,Europe,Enterprise,Enterprise,249.0,3486.0,Paid Ads,Credit Card,2024-10-24,2025-10-24,14,1,0,1,2025-12-26,Weekly (3-5x/wk),5,29,35.4,3,0,17.3,1,0,0,0,0,,Active / Retained,2024-10,1,0,0,0,0,9.0,0.0,0.0,25.0,34.0,Medium Risk,Low Feature Adoption / Downgrade,Loyal Customers
CUST-10059,2025-02-11,58,Asia Pacific,SMB,Basic,29.0,290.0,Organic Search,Credit Card,2025-02-11,2026-02-11,10,1,1,0,2025-12-31,Occasional (1-2x/wk),0,9,29.1,21,0,-35.2,0,0,0,2,0,,Active / Retained,2025-02,0,0,0,1,0,0.0,8.8,12.0,12.0,32.8,Medium Risk,Billing & Support Friction,Loyal Customers
CUST-10060,2024-05-25,49,North America,SMB,Basic,29.0,551.0,Paid Ads,Credit Card,2024-05-25,2025-05-25,19,0,0,0,2025-12-19,Occasional (1-2x/wk),12,32,18.9,10,1,3.7,3,0,0,0,0,,Active / Retained,2024-05,0,0,0,0,0,18.0,0.0,0.0,0.0,18.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10061,2025-07-12,41,North America,Startup/Individual,Basic,29.0,145.0,Content / Webinar,Credit Card,2025-07-12,2026-07-12,5,0,0,0,2025-12-31,Daily,0,30,15.1,9,0,-27.9,3,0,0,0,0,,Active / Retained,2025-07,0,0,0,0,0,0.0,6.975,0.0,12.0,19.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10062,2024-11-21,59,Europe,Enterprise,Custom Tier,576.75,7497.75,Content / Webinar,Invoicing,2024-11-21,2025-11-21,13,0,0,0,2025-12-27,Weekly (3-5x/wk),4,48,27.2,8,1,-1.7,3,0,0,0,0,,Active / Retained,2024-11,1,0,0,0,0,7.5,0.425,0.0,2.5,10.4,Low Risk,Healthy Customer / No Major Risk,Champions
CUST-10063,2024-11-21,53,Middle East & Africa,SMB,Basic,29.0,377.0,Referral,PayPal,2024-11-21,2025-11-21,13,0,0,0,2025-12-31,Daily,0,33,24.1,12,1,18.6,3,0,0,0,0,,Active / Retained,2024-11,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10064,2024-12-22,50,North America,Mid-Market,Enterprise,249.0,2988.0,Paid Ads,ACH / Bank Transfer,2024-12-22,2025-12-22,12,0,0,0,2025-12-26,Weekly (3-5x/wk),5,35,15.6,10,1,-21.2,1,0,0,0,0,,Active / Retained,2024-12,1,0,0,0,0,9.0,5.3,0.0,0.0,14.3,Low Risk,Healthy Customer / No Major Risk,Champions
CUST-10065,2025-02-16,56,North America,Startup/Individual,Basic,29.0,290.0,Paid Ads,Credit Card,2025-02-16,2026-02-16,10,0,0,0,2025-12-30,Daily,1,30,38.9,9,1,-18.6,2,0,0,0,0,,Active / Retained,2025-02,0,0,0,0,0,0.0,4.65,0.0,0.0,4.6,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10066,2025-07-17,42,North America,Enterprise,Custom Tier,744.85,3724.25,Paid Ads,Invoicing,2025-07-17,2026-07-17,5,1,1,0,2025-12-31,Weekly (3-5x/wk),0,23,27.1,21,0,-17.9,1,0,0,0,0,,Active / Retained,2025-07,1,0,0,0,0,0.0,4.475,0.0,12.0,16.5,Low Risk,Healthy Customer / No Major Risk,Loyal Customers
CUST-10067,2025-10-07,40,Europe,Startup/Individual,Basic,29.0,58.0,Paid Ads,PayPal,2025-10-07,2026-10-07,2,0,0,0,2025-12-10,Rare (1-2x/mo),21,16,4.6,1,0,-73.2,3,0,0,0,1,2025-11-06,Onboarding Dropoff & Low Feature Adoption,2025-10,0,1,0,0,1,20.45,18.3,0.0,17.0,55.8,Medium Risk,Severe Inactivity,Churned Customer
CUST-10068,2025-07-28,55,North America,Enterprise,Custom Tier,821.95,4109.75,Referral,ACH / Bank Transfer,2025-07-28,2026-07-28,5,1,1,0,2025-12-21,Occasional (1-2x/wk),10,35,28.7,21,1,30.1,1,0,0,0,0,,Active / Retained,2025-07,1,0,0,0,0,15.6,0.0,0.0,0.0,15.6,Low Risk,Healthy Customer / No Major Risk,Champions
